apk_entry,sha256,maven_coordinate,aar_entry,aar_sha256
"lib/arm64-v8a/libxplat_wearable_xms_impl_client_clientAndroid.so","1e394e55a7251028718a66bab51dfca19dfa4b076bb7f37db027ed4344bed5b2","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_xms_impl_client_clientAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_xms_impl_providers_staticaudioconfigprovider_staticaudioconfigproviderAndroid.so","e27a2d5aca51091bf894f4dad41bb854dee5bf64aa01e358c68cedcb7f81556a","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_xms_impl_providers_staticaudioconfigprovider_staticaudioconfigproviderAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_xms_impl_providers_staticvideoconfigprovider_staticvideoconfigproviderAndroid.so","1f8bce5f91d69496359886e06db08468018b937af194b049131b24d72e927a7d","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_xms_impl_providers_staticvideoconfigprovider_staticvideoconfigproviderAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_xms_impl_services_activitymanager_activitymanagerAndroid.so","939edd067eb06cbf4843a435bf04c7017d008bbde3178b3d567258ff06199b9c","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_xms_impl_services_activitymanager_activitymanagerAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_xms_impl_services_controlchannel_controlchannelAndroid.so","98cd8b7d5c0834282a0bd7fc5780e924da7f7cd679370ff48974bd1c35c0bac6","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_xms_impl_services_controlchannel_controlchannelAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_xms_impl_services_devicebuildinfo_devicebuildinfoAndroid.so","d1b6e03768c1cbaa887309ebd053aab4b404e1dadaf4ff41e2f22ddcc17fa06d","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_xms_impl_services_devicebuildinfo_devicebuildinfoAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_xms_impl_services_engagement_engagementAndroid.so","076aec26e3b636b8fbd94e2621e6141e1282d189762f22450214df13e1939c55","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_xms_impl_services_engagement_engagementAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_xms_impl_services_framestalldetector_framestalldetectorAndroid.so","297001284b895b4f902535fba88515d73a42e36e43c1c127483ca7978083a650","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_xms_impl_services_framestalldetector_framestalldetectorAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_xms_impl_services_streamclient_streamclientAndroid.so","21c60ae9b0d809a925baa1f9dc21fa277e0950ad6d4890372752628894b66c62","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_xms_impl_services_streamclient_streamclientAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_xms_impl_services_subscription_subscriptionAndroid.so","a9ef2530febb5f562c9dfde89e88690c45657453065e33dcf9a702dcd8999b55","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_xms_impl_services_subscription_subscriptionAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
